City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,remire-montjoly,4.9167,-52.2667,298.17,100,75,1.03,GF,1715308388
168,antonio enes,-16.2325,39.9086,295.94,85,6,2.49,MZ,1715308594
169,belmonte,-15.8631,-38.8828,297.95,84,2,1.53,BR,1715308599
170,kamaishi,39.2667,141.8833,291.27,44,13,6.77,JP,1715308601
171,le peage-de-roussillon,45.3718,4.7979,285.7,89,6,1.43,FR,1715308603
172,tazovsky,67.4667,78.7,272.02,87,99,8.97,RU,1715308325
173,summerville,33.0185,-80.1757,295.26,95,0,5.66,US,1715308450
174,salinopolis,-0.6136,-47.3561,299.54,87,92,4.1,BR,1715308609
175,bassar,9.25,0.7833,298.88,73,100,2.09,TG,1715308612
176,barkhan,29.8977,69.5256,302.45,19,80,0.51,PK,1715308614
177,igarka,67.4667,86.5833,272.6,99,93,5.81,RU,1715308370
178,kodiak,57.79,-152.4072,277.88,75,40,3.6,US,1715308335
179,papatowai,-46.5619,169.4708,281.21,83,100,5.46,NZ,1715308620
180,punta arenas,-53.15,-70.9167,272.21,93,20,3.09,CL,1715308551
181,ancud,-41.8697,-73.8203,282.13,79,84,3.01,CL,1715308625
182,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,66,75,10.0,RU,1715308340
183,matoury,4.8483,-52.3317,298.13,100,75,1.03,GF,1715308630
184,khanty-mansiysk,61.0042,69.0019,275.21,64,0,4.0,RU,1715308631
185,ilulissat,69.2167,-51.1,266.16,79,71,0.0,GL,1715308632
186,atafu village,-8.5421,-172.5159,302.52,70,78,1.13,TK,1715308633
187,le moule,16.3332,-61.3473,299.17,100,7,3.0,GP,1715308634
188,aoulef,26.9667,1.0833,298.61,17,2,8.63,DZ,1715308635
189,ushuaia,-54.8,-68.3,274.96,69,0,6.69,AR,1715308538
190,fort mcmurray,56.7268,-111.381,292.92,19,0,5.66,CA,1715308623
191,loiza,18.4313,-65.8802,301.19,89,40,2.06,PR,1715308640
192,la ronge,55.1001,-105.2842,290.29,23,40,5.14,CA,1715308394
193,minusinsk,53.7103,91.6875,287.18,33,99,3.93,RU,1715308643
194,princeville,45.7668,-61.2985,277.83,96,100,4.63,CA,1715308645
195,manaure,11.7751,-72.4445,302.19,76,100,2.99,CO,1715308646
196,anna regina,7.2644,-58.5077,300.13,83,99,4.58,GY,1715308361
197,acapulco de juarez,16.8634,-99.8901,299.05,83,40,3.09,MX,1715308598
198,ginir,7.1333,40.7,286.99,89,40,1.61,ET,1715308649
199,margate,51.3813,1.3862,284.76,90,86,2.06,GB,1715308651
200,roslavl',53.9528,32.8639,276.16,69,99,3.66,RU,1715308652
201,geraldton,-28.7667,114.6,300.38,34,100,6.17,AU,1715308359
202,argo,37.6333,22.7333,288.59,77,100,2.77,GR,1715308380
203,eyl,7.9803,49.8164,301.56,81,78,1.86,SO,1715308660
204,port-cartier,50.0334,-66.8654,278.01,65,93,1.42,CA,1715308662
205,san borja,-14.8167,-66.85,296.02,98,100,1.53,BO,1715308664
206,tozkhurmato,34.8905,44.6299,294.51,42,0,1.69,IQ,1715308666
207,bamboo flat,11.7,92.7167,303.2,79,40,1.03,IN,1715308668
208,vilyuchinsk,52.9306,158.4028,282.3,65,18,4.42,RU,1715308671
209,georgetown,5.4112,100.3354,304.11,74,20,2.57,MY,1715308673
210,beyneu,45.3167,55.2,286.24,38,9,3.65,KZ,1715308675
211,laramie,41.3114,-105.5911,277.36,83,100,5.66,US,1715308536
212,hadibu,12.65,54.0333,301.46,72,80,0.32,YE,1715308363
